Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Generate,Pajak,Bayar BBNKB Mobil,Bayar BBNKB Mobil,bayar bbnkb mobil,bbnkb,bbnkb,3.0,1.0,2.0,66.7
Generate,Pajak,PBB Rumah Tahunan,PBB Rumah Tahunan,pbb rumah tahunan,pbb rumah tahunan,pbb rumah tahun,3.0,3.0,0.0,0.0
Generate,Pajak,PBB Tanah Tahunan,PBB Tanah Tahunan,pbb tanah tahunan,pbb tanah tahunan,pbb tanah tahun,3.0,3.0,0.0,0.0
Generate,Pajak,PBB Ruko Tahunan,PBB Ruko Tahunan,pbb ruko tahunan,pbb ruko tahunan,pbb ruko tahun,3.0,3.0,0.0,0.0
Generate,Pajak,PBB Apartemen Tahunan,PBB Apartemen Tahunan,pbb apartemen tahunan,pbb apartemen tahunan,pbb apartemen tahun,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar PBB Perumahan,Bayar PBB Perumahan,bayar pbb perumahan,pbb perumahan,pbb rumah,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PBB Cluster,Bayar PBB Cluster,bayar pbb cluster,pbb cluster,pbb cluster,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PBB Kos,Bayar PBB Kos,bayar pbb kos,pbb kos,pbb kos,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PBB Kontrakan,Bayar PBB Kontrakan,bayar pbb kontrakan,pbb kontrakan,pbb kontra,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar PBB Sleman April,Bayar PBB Sleman April,bayar pbb sleman april,pbb sleman april,pbb sleman april,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar PBB Bantul Mei,Bayar PBB Bantul Mei,bayar pbb bantul mei,pbb bantul mei,pbb bantul mei,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar PBB Jogja Juni,Bayar PBB Jogja Juni,bayar pbb jogja juni,pbb jogja juni,pbb jogja juni,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar PBB Jakarta Juli,Bayar PBB Jakarta Juli,bayar pbb jakarta juli,pbb jakarta juli,pbb jakarta juli,4.0,3.0,1.0,25.0
Generate,Pajak,Tagihan PBB 2026,Tagihan PBB 2026,tagihan pbb,tagihan pbb,tagih pbb,3.0,2.0,1.0,33.3
Generate,Pajak,Tagihan PBB 2025,Tagihan PBB 2025,tagihan pbb,tagihan pbb,tagih pbb,3.0,2.0,1.0,33.3
Generate,Pajak,Pembayaran SPPT PBB,Pembayaran SPPT PBB,pembayaran sppt pbb,pembayaran sppt pbb,bayar sppt pbb,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar Pajak Tanah Warisan,Bayar Pajak Tanah Warisan,bayar pajak tanah warisan,pajak tanah warisan,pajak tanah waris,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Jual Beli Rumah,Bayar Pajak Jual Beli Rumah,bayar pajak jual beli rumah,pajak beli rumah,pajak beli rumah,5.0,3.0,2.0,40.0
Generate,Pajak,BPHTB Rumah,BPHTB Rumah,bphtb rumah,bphtb rumah,bphtb rumah,2.0,2.0,0.0,0.0
Generate,Pajak,Bayar BPHTB Tanah,Bayar BPHTB Tanah,bayar bphtb tanah,bphtb tanah,bphtb tanah,3.0,2.0,1.0,33.3
Generate,Pajak,Pajak Properti Bulanan,Pajak Properti Bulanan,pajak properti bulanan,pajak properti bulanan,pajak properti bulan,3.0,3.0,0.0,0.0
Generate,Pajak,Pajak Properti Tahunan,Pajak Properti Tahunan,pajak properti tahunan,pajak properti tahunan,pajak properti tahun,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar Pajak NPWP,Bayar Pajak NPWP,bayar pajak npwp,pajak npwp,pajak npwp,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Pajak Pribadi Online,Bayar Pajak Pribadi Online,bayar pajak pribadi online,pajak pribadi,pajak pribadi,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Pajak Orang Pribadi,Bayar Pajak Orang Pribadi,bayar pajak orang pribadi,pajak orang pribadi,pajak orang pribadi,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar SPT Tahunan,Bayar SPT Tahunan,bayar spt tahunan,spt tahunan,spt tahun,3.0,2.0,1.0,33.3
Generate,Pajak,Pembayaran SPT Online,Pembayaran SPT Online,pembayaran spt online,pembayaran spt,bayar spt,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar eFiling Pajak,Bayar eFiling Pajak,bayar efiling pajak,efiling pajak,efiling pajak,3.0,2.0,1.0,33.3
