Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,BETADINE WASH SIRIH FIRMING FLORAL Pembersih Kewanitaan 110ml,betadine wash sirih,betadine wash sirih firming floral pembersih kewanitaan ml,betadine wash sirih firming floral pembersih kewanitaan,betadine wash sirih firming floral bersih wanita,8.0,7.0,1.0,12.5
Shopee,Alat Tes Kehamilan / Tespek / Testpack / HCG Pregnancy Strip Test Onemed,tespek,alat tes kehamilan tespek testpack hcg pregnancy strip test onemed,alat tes kehamilan tespek testpack hcg pregnancy strip test onemed,alat tes hamil tespek testpack hcg pregnancy strip test onemed,13.0,10.0,3.0,23.1
Shopee,Test Pack Kehamilan Onemed Alat Cek Tes Hamil,onemed tes kehamilan,test pack kehamilan onemed alat cek tes hamil,test kehamilan onemed alat cek tes hamil,test hamil onemed alat cek tes hamil,8.0,7.0,1.0,12.5
Shopee,Andalan Strip Uji Kehamilan - Alat Pendeteksi Kehamilan Cepat Akurat,andalan strip uji kehamilan,andalan strip uji kehamilan alat pendeteksi kehamilan cepat akurat,andalan strip uji kehamilan alat pendeteksi kehamilan,andal strip uji hamil alat deteksi hamil,10.0,7.0,3.0,30.0
Shopee,Tes Hamil OneMed Strip Akurat 99.9% Pcs OJ,hamil onemed strip,tes hamil onemed strip akurat pcs oj,tes hamil onemed strip oj,tes hamil onemed strip oj,8.0,5.0,3.0,37.5
Shopee,Laurier Active Day X-tra Pembalut Wanita Daya Serap Ekstra Bebas Bocor 25cm Wing Pengunci Bocor Instant Isi 16 Buah,laurier active day pembalut,laurier active day xtra pembalut wanita daya serap ekstra bebas bocor cm wing pengunci bocor instant isi buah,laurier active day xtra pembalut daya serap ekstra bocor wing pengunci bocor instant,laurier active day xtra balut daya serap ekstra bocor wing kunci bocor instant,19.0,13.0,6.0,31.6
Shopee,(SKR) TestPack COLLOIDAL Stik Compact HCG Test Pack Tespek Alat Tes Hamil Kehamilan Stick,skr tespek,skr testpack colloidal stik compact hcg test pack tespek alat tes hamil kehamilan stick,skr testpack colloidal stik compact hcg test tespek alat tes hamil kehamilan stick,skr testpack colloidal stik compact hcg test tespek alat tes hamil hamil stick,14.0,13.0,1.0,7.1
Shopee,❤ BELIA ❤ HERS PROTEX Pembalut Nyaman Dipakai Kemasan Ecer Sachet | Daya Serap Tinggi | Nyaman Bergerak,belia hers proteks,❤ belia ❤ hers protex pembalut nyaman dipakai kemasan ecer sachet daya serap tinggi nyaman bergerak,hers protex pembalut dipakai daya serap bergerak,hers protex balut pakai daya serap gerak,18.0,7.0,11.0,61.1
Shopee,Hers Protex Softcare Pembalut Wanita Comfort Night 30 cm Bag Isi 20 Pcs,hers protex pembalut,hers protex softcare pembalut wanita comfort night cm bag isi pcs,hers protex softcare pembalut comfort night bag,hers protex softcare balut comfort night bag,13.0,7.0,6.0,46.2
Shopee,Andalan Pregnancy Test Alat Tes Hamil Andalan Tes Kehamilan Andalan,andalan pregnancy test,andalan pregnancy test alat tes hamil andalan tes kehamilan andalan,andalan pregnancy test alat tes hamil andalan tes kehamilan andalan,andal pregnancy test alat tes hamil andal tes hamil andal,10.0,10.0,0.0,0.0
